Date publication	Type de publication	Titre	Libellé recommandation	Destinataire 1	Destinataire 2	Destinataire 3					
14/04/2015	Référé	La formation continue des enseignants	Comme prévu dans les programmes budgétaires du MENSR, veiller à ce que l'offre de formation continue des écoles supérieures du professorat et de l'éducation (ESPE) soit effective, et qu'elle soit adossée à la recherche universitaire et construite en lien étroit avec les besoins concrets exprimés par les enseignants et les corps d'inspection.	Ministère chargé de l'Éducation nationale	 	 					
14/04/2015	Référé	La formation continue des enseignants	Respecter la réglementation en vigueur sur les frais de déplacement des enseignants participant à la formation continue, en dégageant si nécessaire les crédits par redéploiement.	Ministère chargé de l'Éducation nationale	 	 					
16/07/2015	Référé	La gestion des agences de l'eau	Maîtriser les dépenses de personnel, en mettant fin aux recrutements aux conditions actuelles du statut et en explorant les voies d'une refonte du cadre d'emploi à coût constant	Ministère chargé de l'Écologie et du développement durable	 	 					
16/07/2015	Référé	La gestion des agences de l'eau	Renforcer la fonction de contrôle, en particulier pour les interventions et les redevances	Ministère chargé de l'Écologie et du développement durable	 	 					
16/07/2015	Référé	La gestion des agences de l'eau	Contenir les dépenses de communication et d'action internationale et mieux encadrer les relations entre les agences et les associations qu'elles financent, pour éviter tout conflit d'intérêt entre les membres de l'association et l'agence	Ministère chargé de l'Écologie et du développement durable	 	 					
16/07/2015	Référé	La gestion des agences de l'eau	Renforcer la mutualisation des moyens et des systèmes d'information des agences dans le cadre d'un pilotage unique proposant une trajectoire commune à toutes les agences	Ministère chargé de l'Écologie et du développement durable	 	 					
20/04/2015	Référé	La gestion des carrières dans la police et la gendarmerie nationales	Développer les outils permettant d'anticiper la gestion des ressources humaines à travers, notamment, des parcours de carrières types, des analyses prospectives et des simulations.	Ministère de l'Intérieur	 	 					
20/04/2015	Référé	La gestion des carrières dans la police et la gendarmerie nationales	"Remédier à l'engorgement au sommet des corps de policiers et de gendarmes en ralentissant les avancements de grade et d'échelon par l'augmentation des durées minimales d'ancienneté et la réduction des taux d'avancement et en attribuant des aides aux départs financées, sous plafond, par les deux programmes budgétaires sur la
base du volontariat et dans les limites des nécessités du service."	Ministère de l'Intérieur	 	 					
20/04/2015	Référé	La gestion des carrières dans la police et la gendarmerie nationales	"Carifier, dans un document partagé, à travers une nomenclature actualisée et  complétée, le rôle et les missions de chaque corps et de chaque grade de la
police nationale, et identifier les compétences attendues."	Ministère de l'Intérieur	 	 					
20/04/2015	Référé	La gestion des carrières dans la police et la gendarmerie nationales	Allonger la durée des temps de commandement d'unités opérationnelles des officiers de gendarmerie.	Ministère de l'Intérieur	 	 					
20/04/2015	Référé	La gestion des carrières dans la police et la gendarmerie nationales	Renforcer le contrôle des facilités de service (décharges d'activité et autorisations d'absence) attribuées aux organisations syndicales de la police nationale.	Ministère de l'Intérieur	 	 					
12/05/2015	Référé	La gestion des impôts dus en France par les non-résidents	Mettre en oeuvre rapidement un programme d'amélioration de la qualité des services rendus aux non-résidents reposant sur une modernisation des outils d'information et de communication.	Ministère chargé de l'Économie et des Finances	 	 					
12/05/2015	Référé	La gestion des impôts dus en France par les non-résidents	Raccourcir les délais de publication des décrets d'application et des instructions qui précisent les nouvelles règles fiscales concernant les non-résidents.	Ministère chargé de l'Économie et des Finances	 	 					
12/05/2015	Référé	La gestion des impôts dus en France par les non-résidents	Spécialiser la DRESG dans la gestion de la fiscalité des non-résidents, la rattacher au service de la gestion fiscales de la DGFIP, et transférer à l'administration centrale de la DGFIP, ou au secrétariat général du ministère des finances, les fonctions de support administratif qu'elle exerce actuellement.	Ministère chargé de l'Économie et des Finances	 	 					
12/05/2015	Référé	La gestion des impôts dus en France par les non-résidents	Affecter aux fonctions de recouvrement et de contrôle des agents ayant un profil adapté aux spécificités de la fiscalité des non-résidents et mettre à niveau les outils informatiques.	Ministère chargé de l'Économie et des Finances	 	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	réduire le nombre de cycles de travail, particulièrement les cycles mixtes et les postes fixes, afin de rendre les organisations du travail plus simples et moins coûteuses.	Garde des Sceaux	 	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	prendre l'arrêté d'application du décret n°2001-1381 du 31 décembre 2001 portant dérogations aux garanties minimales de la durée du travail et de repos applicables à certains agents du ministère de la justice, mettant en place les 35 heures à l'administration pénitentiaire, afin de sécuriser la situation des agents au regard de la détermination des obligations hebdomadaires et du décompte des heures supplémentaires.	Garde des Sceaux	 	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	sur la base d'une expertise externe du progiciel de gestion des temps ORIGINE , mettre ce système d'information en conformité avec la réglementation en matière de temps de travail,  de congés et de rémunérations.	Garde des Sceaux	Garde des Sceaux	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	mettre en conformité le protocole d'accord relatif à l'exercice du droit syndical, signé le 4 février 2005 , avec les dispositions réglementaires de droit commun.	Garde des Sceaux	 	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	expérimenter la mise en place d'un concours à affectation régionale pour les surveillants, au moins en Ile de France, afin de fidéliser les personnels et déconcentrer la gestion des concours .	Garde des Sceaux	 	 					
23/12/2015	Référé	La gestion des personnels pénitentiaires	transférer aux directeurs d'établissement la compétence pour prononcer les sanctions du premier groupe et aux DISP les sanctions du second groupe et les avancements d'échelon et de grade, afin de renforcer l'autorité des dirigeants de proximité grâce à la déconcentration de la gestion des ressources humaines et le dialogue social. Faire évoluer en conséquence, la compétence des commissions administratives interrégionales et, plus généralement, le décret n°97-3 du 7 janvier 1997 portant déconcentration de la gestion de certains personnels relevant du ministère de la justice.	Garde des Sceaux	 	 					
21/07/2015	Référé	Le compte d'emploi des ressources des organismes faisant appel  à la générosité publique	"simplifier le compte d'emploi des ressources, afin de revenir à un format de tableau conforme à l'arrêté du 30 juillet 1993 centré sur l'emploi des seules ressources issues de la générosité publique, en reprenant pour les exercices N et N-1 :
   -en emplois, les missions sociales, les frais de recherche et de traitement des dons, les frais de fonctionnement, les dotations aux fonds dédiés et les ressources restant à affecter ;
-en ressources, les différentes rubriques issues du règlement comptable n° 2008-12, les dons et legs, les autres produits liés à l'appel à la générosité publique q(dont les produits financiers), le report des ressources non affectées et non utilisées des exercices antérieurs et les reprises de fonds dédiés ;"	Ministère chargé de l'Éducation nationale	Ministère chargé de l'Économie et des Finances	Garde des Sceaux					
21/07/2015	Référé	Le compte d'emploi des ressources des organismes faisant appel  à la générosité publique	"pour les organismes souhaitant décrire l'organisation globale de leur financement, définir une présentation normée par le règlement comptable de l'ensemble des produits et des charges du compte de résultat, reclassés suivant l'origine des ressources et la destination des emplois ;"	Ministère chargé de l'Éducation nationale	Ministère chargé de l'Économie et des Finances	Garde des Sceaux					
21/07/2015	Référé	Le compte d'emploi des ressources des organismes faisant appel  à la générosité publique	"faire viser les documents de synthèse destinés à la communication des organismes bénéfiaires de la générosité publique par le commissaire aux comptes, afin de garantir la conformité de ses données avec le compte d'emploi des ressources ;"	Ministère chargé de l'Éducation nationale	Ministère chargé de l'Économie et des Finances	Garde des Sceaux					
21/07/2015	Référé	Le compte d'emploi des ressources des organismes faisant appel  à la générosité publique	compléter le règlement 2008-12 afin de préciser les règles comptables applicables au compte d'emploi des ressources (cf. annexe n° 2).	Ministère chargé de l'Éducation nationale	Ministère chargé de l'Économie et des Finances	Garde des Sceaux					
21/04/2015	Référé	Le pilotage et le suivi des allègements généraux de cotisations sociales patronales sur les bas salaires	"compléter l'annexe 5 du projet de loi de financement de la sécurité sociale par une analyse rétrospective du coût des allègements généraux de cotisations sociales et mieux étayer la prévision de coût pour l'année à venir au regard des dispositions applicables et des paramètres magroéconomiques ;"	Ministère chargé de la Santé et des affaires sociales	 	 					
21/04/2015	Référé	Le pilotage et le suivi des allègements généraux de cotisations sociales patronales sur les bas salaires	procéder à une évaluation des effets des allègements généraux de cotisations sociales sur les années 2006-2014, simultanément avec celle du crédit d'impôt pour la la compétitivité et l'emploi, en confiant, par exemple, le pilotage au Comité de suivi du crédit d'impôt pour la compétitivité et l'emploi  (CICE).	Ministère chargé de l'Économie et des Finances	Ministère chargé de la Santé et des affaires sociales	Ministère chargé du travail et de l'emploi					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	"Clarifier et préciser les règles d'exécution budgétaire et comptable
des dotations aux collectivités locales prélevées sur les recettes de l'État."	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	"Regrouper dans un processus de traitement de masse automatisé et centralisé l'ordonnancement, la notification et le paiement des dotations calculées par les
administrations centrales (direction générale des collectivités locales et direction générale des finances publiques)."	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	Compléter l'information du Parlement sur l'exécution des prélèvements sur recettes, dans les documents annexés à la loi de règlement, en justifiant les écarts entre les prélèvements votés et ceux versés et en étoffant les indicateurs de performances relatifs à la gestion de ces prélèvements	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	Maîtriser les risques liés à l'environnement informatique en organisant la transmission dématérialisée des pièces justificatives par les applications de gestion des dotations remettantes à CHORUS et en sécurisant, dans le système d'information financier de l'État, le montant maximal des prélèvements.	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	"Améliorer la qualité du service rendu aux collectivités locales en :
- diffusant un calendrier de notification des dotations actualisé en fonction de l'ampleur des modifications informatiques requises par les évolutions législatives, - suivant leurs délais de notification et de versement,
- rendant accessible en ligne l'ensemble des données et des algorithmes de calcul utilisés
par la direction générale des collectivités locales pour déterminer les dotations prélevées sur
les recettes de l'État"	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	"Rationaliser la gestion du FCTVA en :
- créant un système d'information national de pilotage de la gestion du FCTVA,
- levant au profit des préfets le secret professionnel sur la situation fiscale des activités des collectivités territoriales
- en différenciant les contrôles selon une analyse des risques et en instituant des pôles
spécialisés dans l'instruction des demandes complexes de FCTVA."	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	Evaluer périodiquement le coût des extensions apportées au champ du FCTVA et en tenir le Parlement informé.	Ministère de l'Intérieur	 	 					
01/09/2015	Référé	Les concours financiers de l'Etat aux collectivités territoriales - L'exécution des prélèvements sur les recettes de l'Etat et la gestion du FCTVA	Améliorer la qualité du service rendu aux collectivités locales en raccourcissant les délais d'instruction de leurs demandes de FCTVA et en s'engageant sur ces délais.	Ministère de l'Intérieur	 	 					
07/04/2015	Référé	Les investissements de la DGAC	Améliorer la qualité de l'information sur les investissements (coûts totaux et leur évolution, restes à payer, échéanciers), en particulier sur les grands programmes, dans les annexes des prochains projets de loi de finance, afin de fournir une information complète et sincère sur les crédits correspondants	Ministère chargé des Transports	 	 					
07/04/2015	Référé	Les investissements de la DGAC	Limiter le recours aux emprunts de moyen-long terme au financement des investissements nouveaux non financés par la capacité d'autofinancement. Justifier, dans les documents budgétaires, le plafond d'autorisation d'emprunt demandé pour ces avances en fonction des programmes d'investissement prévus	Ministère chargé des Transports	 	 					
26/11/2015	Référé	Les minima sociaux	Mieux articuler  les prestations familiales, les allocations logement et l'ensemble des minima sociaux en harmonisant  les ressources prises en compte afin de garantir l'équité et la neutralité du systme	Ministère chargé de la Santé et des affaires sociales	 	 					
26/11/2015	Référé	Les minima sociaux	"Etendre le principe de   ""l'effet figé""  appliqué sur trois mois pour la prime d'activité au RSA et aux autres allocations"	Ministère chargé de la Santé et des affaires sociales	 	 					
26/11/2015	Référé	Les minima sociaux	Regrouper les minima sociaux autour de trois allocations : le RSA, l'AAH et l'ASPA	Ministère chargé de la Santé et des affaires sociales	 	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Développer une gestion prévisionnelle des affectifs du ministère sur trois ans, permettant aux écoles de mieux anticiper l'effectif des promotions annuelles et de mieux maîtriser leur plan de charge.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Elaborer une méthodologie commune aux écoles permettant d'établir, de suivre et de comparer le coût des différents concours organisés par le ministère.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Déterminer, sur la base d'une méthodologie commune aux écoles, le coût de la formation d'un élève.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Inscrire les relations entre chaque école et son administration de rattachement dans le cadre d'un contrat d'objectifs et de performance pluriannuel et d'un dialogue de gestion régulier.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Mettre en place une évaluation annuelle des formateurs, tant par leur hiérarchie que par les auditeurs et les stagiaires.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Encourager les collaborations et les mutualisations entre les quatre écoles pour la formation initiale comme pour la formation continue.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Revoir le régime des indemnités de stage afin d'assurer un traitement homogène avec la situation des agents en scolarité dans les autres écoles de service public.	Garde des Sceaux	Garde des Sceaux	 					
20/03/2015	Référé	Les écoles de formation du ministère de la Justice	Reconsidérer la gratuité de l'hébergement des stagiaires fonctionnaires rémunérés.	Garde des Sceaux	Garde des Sceaux	 					
20/09/2016	RALFSS	L'objectif national de dépenses d'assurance maladie	Établir un cadre de référence des modalités de construction et de révision en cours d'année de l'ONDAM, dont le contenu serait opposable, de manière à assurer la permanence des méthodes entre exercices et une comparaison rigoureuse des dépenses réalisées avec celles prévues globalement et par sous-objectif de dépenses .	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	L'objectif national de dépenses d'assurance maladie	Soumettre à l'avis du comité d'alerte de l'ONDAM prévu à l'article L. 114-4-1 du code de la sécurité sociale les ajustements, en cours d'exercice, des sous-objectifs de l'ONDAM.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	L'objectif national de dépenses d'assurance maladie	Abaisser le niveau du seuil d'alerte afin qu'il conserve son efficacité et son rôle de régulation de la dépense d'assurance maladie (recommandation réitérée).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	L'objectif national de dépenses d'assurance maladie	Intégrer  à  l'annexe  relative  à  l'ONDAM  du  projet  de  loi  de financement de la sécurité sociale pour 2017 un suivi ex post des économies programmées dans le plan triennal 2015-2017, permettant d'objectiver les économies réalisées au regard de celles attendues et de mettre en ?uvre, au besoin, des actions correctrices.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	L'objectif national de dépenses d'assurance maladie	Instaurer des dispositifs plus complets de suivi et de régulation infra- annuels des dépenses de soins de ville, en examinant à ce titre l'éventualité d'affecter à une réserve prudentielle tout ou partie du supplément de dépenses induit par les augmentations tarifaires en cas de non-respect de l'objectif prévisionnel de dépenses (recommandation réitérée).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La  maîtrise  des  prescriptions  à  l'hôpital	Améliorer le suivi annuel des dépenses d'imagerie et de biologie dans les établissements de santé par la mise en place d'une enquête spécifique pilotée par l'ATIH.	 	Ministère chargé de la Santé et des affaires sociales	 					
20/09/2016	RALFSS	La  maîtrise  des  prescriptions  à  l'hôpital	Conditionner   à   l'identification   individuelle   des   prescripteurs l'exécution des prescriptions émises en établissement et effectuées en ville comme réalisées à l'hôpital.	 	Ministère chargé de la Santé et des affaires sociales	UNCAM/CNAMTS					
20/09/2016	RALFSS	La  maîtrise  des  prescriptions  à  l'hôpital	Élaborer et diffuser des référentiels de bonnes pratiques adaptés à l'exercice hospitalier.	 	Ministère chargé de la Santé et des affaires sociales	Haute autorité de santé					
20/09/2016	RALFSS	La  maîtrise  des  prescriptions  à  l'hôpital	Inclure dans les contrats d'amélioration de la qualité et de l'efficience des soins l'ensemble des prescriptions médicales, exécutées en ville comme  réalisées  à  l'hôpital  et  en  rendre  co-signataire  avec  le directeur de l'établissement, le président de la commission médicale d'établissement.	 	Ministère chargé de la Santé et des affaires sociales	 					
20/09/2016	RALFSS	La  maîtrise  des  prescriptions  à  l'hôpital	Mettre en ?uvre un dispositif de minoration tarifaire se déclenchant automatiquement en cas de non-respect des objectifs contractuels de maîtrise des prescriptions.	 	Ministère chargé de la Santé et des affaires sociales	 					
20/09/2016	RALFSS	La caisse autonome nationale de sécurité sociale dans les mines	Procéder à la fermeture de la caisse des mines à un horizon de cinq ans.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La caisse autonome nationale de sécurité sociale dans les mines	Amplifier par priorité la restructuration de l'offre de soins dans un objectif d'externalisation de la gestion de ses composantes ayant vocation à être pérennisées.	 	Caisse Autonome Nationale de la Sécurité Sociale dans les Mines	 					
20/09/2016	RALFSS	La caisse autonome nationale de sécurité sociale dans les mines	Gérer dans cette perspective en coûts complets les structures de soins en incluant la totalité des frais de structure qui s'y rattachent.	 	Caisse Autonome Nationale de la Sécurité Sociale dans les Mines	 					
20/09/2016	RALFSS	La caisse autonome nationale de sécurité sociale dans les mines	Mettre en ?uvre une gestion active des ressources humaines afin d'assurer le transfert des agents en surnombre vers d'autres employeurs publics et privés.	 	Caisse Autonome Nationale de la Sécurité Sociale dans les Mines	 					
20/09/2016	RALFSS	La caisse autonome nationale de sécurité sociale dans les mines	Transformer la subvention de l'État à la branche vieillesse en une subvention d'équilibre et organiser l'amortissement par la CADES de la dette du régime.	Ministère chargé de l'Économie et des Finances	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Faire respecter l'obligation légale de certification fixée par le code de la sécurité sociale pour les régimes de sécurité sociale gérés par la Caisse  des  dépôts  et  consignations  ainsi  que  pour  le  régime  de retraite de la Banque de France.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Faire de la levée des réserves sur les comptes un axe prioritaire des prochaines conventions d'objectifs et de gestion.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Élargir  par  la  voie  d'une  disposition  législative  le  champ  des échanges d'informations entre la Cour des comptes et les commissaires aux comptes des entités liées par des flux financiers et informationnels  aux  organismes  du  régime  général  de  sécurité sociale.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Engager, par étapes, la construction de comptes combinés par risque de l'ensemble des régimes obligatoires de base de sécurité sociale et les soumettre à une procédure de certification.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Faire converger progressivement le calendrier de certification des comptes des organismes de sécurité sociale avec celui des comptes de l'État.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Inscrire dans les annexes aux comptes des régimes obligatoires de base de sécurité sociale les engagements pluriannuels à l'égard des titulaires de pensions et de rentes et de leurs ayants-droits, appréciés et évalués en fonction des règles de droit en vigueur à la date de clôture des comptes (recommandation réitérée).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La certification  des comptes  des  régimes  de  base de sécurité sociale	Redéfinir   le   partage   des   responsabilités   entre   les   organismes concernés en matière de contrôle des données des répertoires interbranches mutualisés.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La fonction informatique dans la sécurité sociale	Reconnaître aux organismes nationaux une autorité fonctionnelle et hiérarchique sur l'ensemble des agents et des moyens affectés à la maîtrise d'ouvrage, aux développements et à l'exploitation informatiques.	 	Caisses nationales	RSI-CCMSA					
20/09/2016	RALFSS	La fonction informatique dans la sécurité sociale	Regrouper  la  fonction  informatique  sur  un  nombre  beaucoup  plus réduit de sites, en prenant en considération les perspectives démographiques et les implantations des réseaux de l'ensemble des régimes et branches.	 	Caisses nationales	RSI-CCMSA					
20/09/2016	RALFSS	La fonction informatique dans la sécurité sociale	Consolider les compétences internes, en réorientant les agents vers des tâches à plus forte valeur ajoutée grâce à une gestion prévisionnelle active des emplois et des compétences, en recrutant les profils de haut niveau nécessaires en petit nombre pour assurer en interne la complète maîtrise des projets structurants et en encadrant plus fortement le recours aux prestataires externes.	 	Caisses nationales	RSI-CCMSA					
20/09/2016	RALFSS	La fonction informatique dans la sécurité sociale	Développer les synergies entre les institutions de sécurité sociale en matière notamment d'achats informatiques, de mobilité des agents et d'utilisation des infrastructures.	 	Caisses nationales	RSI-CCMSA					
20/09/2016	RALFSS	La gestion des personnels des organismes de sécurité sociale	Mettre en ?uvre de façon prioritaire une analyse prévisionnelle à moyen  (5  ans)  et  à  long  terme  (dix  ans)  des  emplois,  des compétences et des organisations cibles.	 	Caisses nationales	Union des caisses nationales de sécurité sociale					
20/09/2016	RALFSS	La gestion des personnels des organismes de sécurité sociale	Mobiliser  activement  les   gains  de  productivité,   en  faisant progressivement converger la durée de travail avec la durée légale, en faisant de la lutte contre l'absentéisme une priorité, en levant les obstacles conventionnels aux mobilités géographiques et fonctionnelles et en tirant tout le parti des départs massifs à la retraite des prochaines années pour procéder à des réorganisations porteuses d'efficience, et ajuster les effectifs en conséquence.	 	Caisses nationales	Union des caisses nationales de sécurité sociale					
20/09/2016	RALFSS	La gestion des personnels des organismes de sécurité sociale	Renforcer  le  caractère  incitatif  de  l'intéressement,  notamment  au regard de la lutte contre l'absentéisme.	 	Caisses nationales	Union des caisses nationales de sécurité sociale					
20/09/2016	RALFSS	La gestion des personnels des organismes de sécurité sociale	Engager une réflexion sur le transfert du pouvoir d'employeur des organismes locaux aux organismes nationaux de sécurité sociale et l'élargissement du rôle de l'UCANSS.	 	Caisses nationales	Union des caisses nationales de sécurité sociale					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Maintenir le cap de la stratégie « Hôpital numérique » et engager sans tarder les travaux préparatoires à son deuxième palier, en l'orientant vers la convergence des systèmes d'information au sein des groupements hospitaliers de territoire.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Subordonner le soutien financier aux investissements informatiques à la réalisation de gains d'efficience, contractualisés dans le cadre des contrats pluriannuels d'objectifs et de moyens.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Bâtir  au  niveau  régional  une  expertise  en  matière  de  maîtrise d'ouvrage, pour venir en appui aux projets informatiques hospitaliers en  mobilisant,  avec  le  soutien  de  l'ANAP,  les  GCS  « e-santé » existants.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Rendre  opposables  aux  éditeurs  de  logiciels  les  référentiels d'interopérabilité et de sécurité en vigueur et intensifier les travaux d'élaboration des référentiels « métiers ».	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Rappeler les modalités d'application des règles de la commande publique pour les établissements adhérant à des structures de coopération qui éditent des logiciels.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La modernisation des systèmes d'information hospitaliers	Intégrer la stratégie d'ouverture et de convergence des systèmes d'information hospitaliers dans une approche plus large d'informatique de santé partagée avec les autres acteurs du système de soins.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Étudier le scénario d'une généralisation obligatoire des couvertures complémentaires santé accompagnée d'une plus grande homogénéité des niveaux de garantie et de participation financière des assurés (orientation).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Envisager  de  resserrer  le  « panier  de  soins »  remboursables  par l'assurance maladie, afin d'améliorer les niveaux de prise en charge, notamment à l'hôpital (orientation).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Viser  une  séparation  plus  poussée  des  domaines  d'intervention respectifs de l'assurance maladie et des organismes complémentaires afin de renforcer la capacité d'action de chaque financeur dans la gestion des risques et la maîtrise du coût des soins et des produits de santé (orientation)	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Étudier la mise en place d'un plafonnement des restes à charge accompagné d'une reconsidération des modalités de prise en charge des affections de longue durée (orientation).	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Engager  rapidement  l'harmonisation  des  assiettes  des  tickets modérateurs entre tous les établissements de santé publics et privés.	 	Ministère chargé de la Santé et des affaires sociales	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Étendre les mesures visant à limiter le reste à charge des ménages résultant des secteurs à liberté tarifaire en renforçant les critères d'éligibilité des contrats « responsables » .	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Adopter des mesures plus contraignantes de limitation des taux de dépassements d'honoraires.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La participation des assurés au financement de leurs dépenses de santé	Réorienter une partie des soutiens publics à la souscription d'une couverture  complémentaire  vers  les  assurés  aux  risques  les  plus élevés.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La prise en charge des affections de longue durée	Assurer un suivi exhaustif et précis des dépenses d'ALD, de leurs évolutions  et  de  leurs  déterminants  afin  de  mieux  anticiper  et maîtriser les prises en charge.	 	UNCAM/CNAMTS	 					
20/09/2016	RALFSS	La prise en charge des affections de longue durée	Mettre en ?uvre des actions de réduction des atypies de dépenses, notamment des disparités territoriales de coûts moyens de prise en charge, pathologie par pathologie .	 	UNCAM/CNAMTS	 					
20/09/2016	RALFSS	La prise en charge des affections de longue durée	Substituer au paiement à l'acte un système de rémunération forfaitaire pour  les  médecins  prenant  en  charge  des  malades  chroniques  en ALD, modulable suivant l'état de santé du patient et le stade d'avancement de la pathologie, assorti d'indicateurs permettant d'évaluer la qualité de la prise en charge .	 	UNCAM/CNAMTS	 					
20/09/2016	RALFSS	La prise en charge des affections de longue durée	Expérimenter, pour certaines pathologies chroniques, un dispositif d'enveloppe globale et modulable de dépenses par patient atteint de maladie chronique, couvrant l'ensemble des prestations nécessaires et des rémunérations des professionnels de santé.	 	UNCAM/CNAMTS	 					
20/09/2016	RALFSS	La situation et les perspectives financières de la sécurité sociale	Fixer un objectif de retour à l'équilibre d'ici à 2019 au plus tard de l'ensemble constitué du régime général et du FSV et, spécifiquement, de la branche maladie du régime général.	Ministère chargé de la Santé et des affaires sociales	 	 					
20/09/2016	RALFSS	La situation et les perspectives financières de la sécurité sociale	Renforcer à cet effet les mesures structurelles d'économies sur la branche maladie, telles que celles recommandées dans les différents chapitres du présent rapport, afin de réduire durablement le rythme de progression des dépenses (recommandation réitérée).	Ministère chargé de la Santé et des affaires sociales	 	 					
